checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,problematic_delay,checkout_status
mobile,ended,9.0,,,False,1 ≤ Delay < 10 mins
mobile,ended,-6.0,,,False,on time
mobile,ended,-18.0,,,False,on time
mobile,ended,0.0,,,False,on time
mobile,ended,-62.0,,,False,on time
mobile,ended,210.0,,,False,Delay ≥ 60
mobile,ended,12.0,539751.0,0.0,False,10 ≤ Delay < 60 mins
mobile,ended,-24.0,,,False,on time
mobile,ended,-5.0,,,False,on time
connect,canceled,0.0,,,False,on time
connect,ended,90.0,,,False,Delay ≥ 60
mobile,ended,-14.0,,,False,on time
mobile,ended,11.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,-7.0,,,False,on time
mobile,ended,146.0,,,False,Delay ≥ 60
mobile,ended,-25.0,,,False,on time
mobile,ended,0.0,,,False,on time
mobile,ended,13.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,901.0,,,False,Delay ≥ 60
mobile,canceled,0.0,,,False,on time
mobile,ended,52.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,125.0,540607.0,0.0,False,Delay ≥ 60
mobile,ended,0.0,,,False,on time
mobile,ended,165.0,,,False,Delay ≥ 60
mobile,ended,-25.0,,,False,on time
mobile,ended,0.0,,,False,on time
mobile,ended,0.0,,,False,on time
mobile,ended,83.0,,,False,Delay ≥ 60
mobile,ended,69.0,,,False,Delay ≥ 60
mobile,ended,156.0,,,False,Delay ≥ 60
mobile,ended,0.0,539897.0,30.0,True,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,12.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,50.0,540444.0,180.0,True,10 ≤ Delay < 60 mins
mobile,ended,-7.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,183.0,,,False,Delay ≥ 60
mobile,canceled,0.0,,,False,on time
mobile,ended,-170.0,,,False,on time
mobile,ended,-36.0,,,False,on time
connect,ended,-106.0,,,False,on time
mobile,ended,9.0,,,False,1 ≤ Delay < 10 mins
mobile,ended,-21.0,,,False,on time
mobile,ended,64.0,,,False,Delay ≥ 60
mobile,ended,23.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,14.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,5.0,,,False,1 ≤ Delay < 10 mins
mobile,ended,300.0,,,False,Delay ≥ 60
mobile,ended,-18.0,,,False,on time
mobile,ended,0.0,,,False,on time
mobile,ended,12.0,,,False,10 ≤ Delay < 60 mins
connect,ended,48.0,,,False,10 ≤ Delay < 60 mins
connect,ended,-9.0,552619.0,240.0,True,on time
mobile,ended,-57.0,,,False,on time
connect,ended,-529.0,,,False,on time
mobile,ended,670.0,,,False,Delay ≥ 60
mobile,ended,-53.0,,,False,on time
connect,ended,64.0,540663.0,540.0,True,Delay ≥ 60
mobile,ended,2.0,,,False,1 ≤ Delay < 10 mins
mobile,ended,24.0,,,False,10 ≤ Delay < 60 mins
connect,canceled,0.0,543010.0,210.0,True,on time
mobile,ended,55.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,75.0,536315.0,60.0,False,Delay ≥ 60
mobile,ended,0.0,,,False,on time
mobile,ended,0.0,,,False,on time
mobile,ended,-44.0,,,False,on time
connect,ended,-244.0,,,False,on time
connect,ended,337.0,,,False,Delay ≥ 60
connect,ended,39.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,56.0,,,False,10 ≤ Delay < 60 mins
mobile,canceled,0.0,,,False,on time
mobile,ended,31.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,-23.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,233.0,,,False,Delay ≥ 60
connect,ended,50.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,108.0,,,False,Delay ≥ 60
mobile,ended,56.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,-2.0,,,False,on time
connect,ended,74.0,,,False,Delay ≥ 60
mobile,ended,-31.0,,,False,on time
mobile,ended,7.0,,,False,1 ≤ Delay < 10 mins
connect,canceled,0.0,,,False,on time
mobile,ended,302.0,,,False,Delay ≥ 60
connect,ended,-98.0,,,False,on time
mobile,ended,93.0,,,False,Delay ≥ 60
mobile,ended,20.0,,,False,10 ≤ Delay < 60 mins
connect,canceled,0.0,,,False,on time
mobile,ended,0.0,,,False,on time
connect,ended,-467.0,,,False,on time
connect,canceled,0.0,,,False,on time
mobile,ended,20.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,69.0,,,False,Delay ≥ 60
mobile,ended,-9.0,,,False,on time
mobile,ended,-80.0,,,False,on time
mobile,ended,-44.0,,,False,on time
mobile,ended,163.0,,,False,Delay ≥ 60
mobile,ended,-2.0,,,False,on time
connect,canceled,0.0,546578.0,630.0,True,on time
mobile,ended,10.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,-52.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,16.0,548486.0,660.0,True,10 ≤ Delay < 60 mins
mobile,ended,92.0,,,False,Delay ≥ 60
mobile,canceled,0.0,,,False,on time
mobile,ended,7.0,,,False,1 ≤ Delay < 10 mins
mobile,ended,0.0,,,False,on time
connect,ended,-55.0,,,False,on time
mobile,ended,30.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,261.0,,,False,Delay ≥ 60
connect,ended,84.0,,,False,Delay ≥ 60
connect,ended,85.0,,,False,Delay ≥ 60
mobile,ended,10.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,-113.0,,,False,on time
connect,ended,423.0,,,False,Delay ≥ 60
mobile,ended,500.0,,,False,Delay ≥ 60
mobile,ended,0.0,,,False,on time
mobile,canceled,0.0,,,False,on time
connect,ended,-5.0,,,False,on time
mobile,ended,1.0,,,False,1 ≤ Delay < 10 mins
connect,ended,-548.0,,,False,on time
mobile,ended,266.0,535868.0,30.0,False,Delay ≥ 60
